Ndimer,timespent
3,673160667
5,5763298
7,895599
9,305222
10,15992432
11,135105
12,11904436
13,24021
14,2334444
15,5002
16,410233
17,548126
18,74049
19,197117
20,16012
21,216121
22,4854871
23,48041
24,1818918
25,13011
26,410264
27,113033
28,126079
29,103046
30,86036
31,37024
32,215115
33,3881745
34,290103
35,1384732
36,94057
37,370222
38,80038
39,142076
40,62036
41,113039
42,42023
43,190104
44,2813557
45,69051
46,1071541
47,31020
48,411208
49,85034
50,191071
51,77040
52,86048
53,318086
54,97052
55,658191
56,80039
57,274140
58,64027
59,145052
60,92040
61,105047
62,44026
63,60035
64,179083
65,1997369
66,135061
67,627349
68,71039
69,207097
70,97035
71,91041
72,80037
73,79042
74,413105
75,67040
76,669195
77,27016
78,248126
79,54021
80,117047
81,60022
82,90038
83,59028
84,266078
85,256075
86,437111
87,90048
88,151078
89,79033
90,121046
91,239057
92,414070
93,627130
94,469101
95,364126
96,416109
97,193070
98,317085
99,201044
100,229065
101,191049
102,466053
103,388048
104,653085
105,228057
106,843099
107,297053
108,742115
109,292061
110,368087
111,261051
112,684071
113,797071
114,941064
115,2594077
116,3679117
117,6487208
118,16121442
119,26492084
120,218342517
121,16900300
122,39885497
123,37671363
124,7713094
125,33010164
126,64003
127,187084
128,3002
